Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
66.0000	0.2953	0.3973	0.5434	0.8204	0.9058	0.6372	0.5703	0.7983	0.6362	0.7997	0.5587	0.7836	0.6166	0.7869
67.0000	0.2910	0.3957	0.5395	0.8229	0.9072	0.6435	0.5785	0.8020	0.6329	0.7983	0.5587	0.7836	0.6166	0.7869
68.0000	0.2956	0.4002	0.5436	0.8202	0.9057	0.6439	0.5754	0.8024	0.6324	0.7976	0.5587	0.7836	0.6166	0.7869
69.0000	0.2926	0.3962	0.5408	0.8221	0.9067	0.6365	0.5750	0.7977	0.6368	0.7983	0.5587	0.7836	0.6166	0.7869
70.0000	0.2900	0.3941	0.5386	0.8236	0.9075	0.6491	0.5801	0.8054	0.6297	0.7936	0.5587	0.7836	0.6166	0.7869
71.0000	0.2895	0.3959	0.5380	0.8240	0.9077	0.6579	0.5805	0.8109	0.6246	0.7941	0.5587	0.7836	0.6166	0.7869
72.0000	0.2874	0.3942	0.5362	0.8251	0.9083	0.6323	0.5690	0.7949	0.6393	0.8027	0.5587	0.7836	0.6166	0.7869
73.0000	0.2852	0.3906	0.5339	0.8266	0.9092	0.6266	0.5715	0.7914	0.6424	0.8045	0.5587	0.7836	0.6166	0.7869
74.0000	0.2802	0.3878	0.5291	0.8297	0.9109	0.6158	0.5641	0.7846	0.6486	0.8061	0.5587	0.7836	0.6166	0.7869
75.0000	0.2819	0.3866	0.5309	0.8286	0.9103	0.6344	0.5743	0.7963	0.6380	0.8009	0.5587	0.7836	0.6166	0.7869
76.0000	0.2801	0.3874	0.5292	0.8296	0.9108	0.6404	0.5830	0.8001	0.6345	0.7990	0.5587	0.7836	0.6166	0.7869
77.0000	0.2794	0.3863	0.5285	0.8301	0.9111	0.6213	0.5710	0.7881	0.6454	0.8068	0.5587	0.7836	0.6166	0.7869
78.0000	0.2809	0.3888	0.5299	0.8292	0.9106	0.6296	0.5700	0.7933	0.6407	0.8032	0.5587	0.7836	0.6166	0.7869
79.0000	0.2795	0.3862	0.5286	0.8300	0.9110	0.6329	0.5773	0.7956	0.6387	0.8004	0.5587	0.7836	0.6166	0.7869
80.0000	0.2731	0.3817	0.5221	0.8342	0.9134	0.6371	0.5783	0.7981	0.6364	0.8020	0.5587	0.7836	0.6166	0.7869
81.0000	0.2715	0.3806	0.5208	0.8350	0.9138	0.6146	0.5583	0.7838	0.6493	0.8076	0.5587	0.7836	0.6166	0.7869
82.0000	0.2704	0.3794	0.5200	0.8355	0.9141	0.6250	0.5707	0.7904	0.6434	0.8022	0.5587	0.7836	0.6166	0.7869
83.0000	0.2723	0.3802	0.5218	0.8344	0.9135	0.6249	0.5681	0.7905	0.6433	0.8041	0.5587	0.7836	0.6166	0.7869
84.0000	0.2684	0.3768	0.5179	0.8368	0.9148	0.6402	0.5795	0.8002	0.6345	0.7993	0.5587	0.7836	0.6166	0.7869
85.0000	0.2633	0.3725	0.5132	0.8398	0.9164	0.6333	0.5690	0.7958	0.6385	0.8019	0.5587	0.7836	0.6166	0.7869
86.0000	0.2600	0.3709	0.5099	0.8418	0.9175	0.6328	0.5669	0.7954	0.6388	0.8044	0.5587	0.7836	0.6166	0.7869
87.0000	0.2607	0.3727	0.5107	0.8413	0.9172	0.6243	0.5665	0.7900	0.6437	0.8046	0.5587	0.7836	0.6166	0.7869
88.0000	0.2664	0.3760	0.5161	0.8380	0.9154	0.6256	0.5658	0.7910	0.6429	0.8049	0.5587	0.7836	0.6166	0.7869
89.0000	0.2566	0.3689	0.5065	0.8440	0.9187	0.6483	0.5754	0.8052	0.6299	0.8013	0.5587	0.7836	0.6166	0.7869
90.0000	0.2609	0.3739	0.5107	0.8413	0.9172	0.6269	0.5685	0.7918	0.6421	0.8019	0.5587	0.7836	0.6166	0.7869
91.0000	0.2594	0.3712	0.5093	0.8422	0.9177	0.6246	0.5687	0.7903	0.6434	0.8040	0.5587	0.7836	0.6166	0.7869
92.0000	0.2631	0.3743	0.5124	0.8403	0.9167	0.6146	0.5678	0.7840	0.6491	0.8059	0.5587	0.7836	0.6166	0.7869
93.0000	0.2532	0.3671	0.5031	0.8460	0.9198	0.6293	0.5711	0.7933	0.6407	0.8020	0.5587	0.7836	0.6166	0.7869
94.0000	0.2542	0.3669	0.5041	0.8454	0.9195	0.6210	0.5659	0.7879	0.6456	0.8075	0.5587	0.7836	0.6166	0.7869
95.0000	0.2563	0.3708	0.5063	0.8441	0.9187	0.6167	0.5670	0.7854	0.6479	0.8053	0.5587	0.7836	0.6166	0.7869
96.0000	0.2505	0.3648	0.5005	0.8476	0.9207	0.6230	0.5671	0.7895	0.6442	0.8029	0.5587	0.7836	0.6166	0.7869
97.0000	0.2525	0.3651	0.5024	0.8464	0.9200	0.6296	0.5678	0.7936	0.6404	0.8022	0.5587	0.7836	0.6166	0.7869
98.0000	0.2536	0.3676	0.5036	0.8457	0.9196	0.6043	0.5575	0.7775	0.6549	0.8104	0.5587	0.7836	0.6166	0.7869
99.0000	0.2491	0.3638	0.4991	0.8485	0.9211	0.6214	0.5642	0.7883	0.6453	0.8076	0.5587	0.7836	0.6166	0.7869
100.0000	0.2428	0.3583	0.4928	0.8523	0.9232	0.6220	0.5647	0.7888	0.6448	0.8042	0.5587	0.7836	0.6166	0.7869
101.0000	0.2436	0.3598	0.4932	0.8520	0.9231	0.6127	0.5601	0.7829	0.6501	0.8077	0.5587	0.7836	0.6166	0.7869
102.0000	0.2455	0.3608	0.4953	0.8508	0.9224	0.6328	0.5709	0.7956	0.6386	0.8028	0.5587	0.7836	0.6166	0.7869
103.0000	0.2475	0.3610	0.4975	0.8495	0.9217	0.6207	0.5706	0.7881	0.6455	0.8042	0.5587	0.7836	0.6166	0.7869
104.0000	0.2472	0.3617	0.4971	0.8497	0.9218	0.6061	0.5662	0.7787	0.6539	0.8090	0.5587	0.7836	0.6166	0.7869
105.0000	0.2442	0.3592	0.4937	0.8517	0.9229	0.6125	0.5627	0.7828	0.6502	0.8082	0.5587	0.7836	0.6166	0.7869
106.0000	0.2395	0.3554	0.4896	0.8542	0.9242	0.6018	0.5558	0.7759	0.6563	0.8105	0.5587	0.7836	0.6166	0.7869
107.0000	0.2405	0.3566	0.4905	0.8537	0.9239	0.6188	0.5624	0.7867	0.6467	0.8081	0.5587	0.7836	0.6166	0.7869
108.0000	0.2408	0.3559	0.4905	0.8536	0.9239	0.6351	0.5706	0.7971	0.6373	0.8014	0.5587	0.7836	0.6166	0.7869
109.0000	0.2349	0.3507	0.4847	0.8571	0.9258	0.6291	0.5625	0.7933	0.6407	0.8055	0.5587	0.7836	0.6166	0.7869
110.0000	0.2364	0.3519	0.4862	0.8562	0.9253	0.6081	0.5633	0.7799	0.6528	0.8092	0.5587	0.7836	0.6166	0.7869
111.0000	0.2391	0.3552	0.4883	0.8550	0.9246	0.6135	0.5632	0.7833	0.6497	0.8081	0.5587	0.7836	0.6166	0.7869
112.0000	0.2372	0.3533	0.4871	0.8557	0.9250	0.6234	0.5629	0.7897	0.6440	0.8046	0.5587	0.7836	0.6166	0.7869
113.0000	0.2376	0.3543	0.4872	0.8556	0.9250	0.6398	0.5715	0.8000	0.6346	0.7984	0.5587	0.7836	0.6166	0.7869
114.0000	0.2368	0.3531	0.4865	0.8560	0.9252	0.6187	0.5618	0.7867	0.6467	0.8067	0.5587	0.7836	0.6166	0.7869
115.0000	0.2324	0.3487	0.4821	0.8586	0.9266	0.6181	0.5614	0.7863	0.6471	0.8068	0.5587	0.7836	0.6166	0.7869
116.0000	0.2322	0.3491	0.4817	0.8588	0.9267	0.6122	0.5606	0.7825	0.6505	0.8082	0.5587	0.7836	0.6166	0.7869
117.0000	0.2339	0.3517	0.4835	0.8578	0.9262	0.6165	0.5633	0.7852	0.6480	0.8061	0.5587	0.7836	0.6166	0.7869
118.0000	0.2331	0.3503	0.4827	0.8582	0.9264	0.6185	0.5664	0.7866	0.6468	0.8051	0.5587	0.7836	0.6166	0.7869
119.0000	0.2329	0.3491	0.4825	0.8584	0.9265	0.6098	0.5610	0.7810	0.6518	0.8081	0.5587	0.7836	0.6166	0.7869
120.0000	0.2346	0.3507	0.4842	0.8574	0.9260	0.6225	0.5648	0.7891	0.6446	0.8039	0.5587	0.7836	0.6166	0.7869
