Epoch	Loss_train	MAE_train_Kcat	RMSE_train_Kcat	R2_train_Kcat	PCC_train_Kcat	MAE_train_Km	RMSE_train_Km	R2_train_Km	PCC_train_Km	Loss_val	MAE_val_Kcat	RMSE_val_Kcat	R2_val_Kcat	PCC_val_Kcat	MAE_val_Km	RMSE_val_Km	R2_val_Km	PCC_val_Km	MAE_test_Kcat	RMSE_test_Kcat	R2_test_Kcat	PCC_test_Kcat	MAE_test_Km	RMSE_test_Km	R2_test_Km	PCC_test_Km
32.0000	0.8848	0.5122	0.7079	0.7722	0.8787	0.4642	0.6194	0.7655	0.8749	1.4003	0.6223	0.8665	0.6420	0.8062	0.6000	0.8074	0.6120	0.7866	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
33.0000	0.8629	0.5079	0.7019	0.7760	0.8809	0.4542	0.6084	0.7737	0.8796	1.3574	0.6049	0.8449	0.6596	0.8126	0.5969	0.8033	0.6159	0.7866	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
34.0000	0.8577	0.5104	0.7061	0.7733	0.8794	0.4461	0.5993	0.7804	0.8834	1.3680	0.6298	0.8514	0.6544	0.8106	0.5885	0.8032	0.6160	0.7855	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
35.0000	0.8478	0.5038	0.6945	0.7807	0.8836	0.4540	0.6049	0.7763	0.8811	1.3874	0.6283	0.8564	0.6503	0.8066	0.5911	0.8104	0.6091	0.7835	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
36.0000	0.8275	0.4926	0.6845	0.7869	0.8871	0.4481	0.5992	0.7805	0.8835	1.3708	0.6023	0.8396	0.6639	0.8156	0.6017	0.8167	0.6030	0.7776	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
37.0000	0.8259	0.4956	0.6849	0.7867	0.8870	0.4472	0.5975	0.7817	0.8842	1.3586	0.6051	0.8428	0.6614	0.8176	0.5930	0.8059	0.6134	0.7883	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
38.0000	0.8201	0.4929	0.6849	0.7867	0.8870	0.4405	0.5927	0.7853	0.8862	1.3814	0.6098	0.8590	0.6482	0.8110	0.5871	0.8032	0.6160	0.7871	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
39.0000	0.8099	0.4909	0.6830	0.7879	0.8876	0.4364	0.5858	0.7902	0.8889	1.3331	0.6063	0.8340	0.6684	0.8176	0.5855	0.8001	0.6189	0.7870	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
40.0000	0.7997	0.4858	0.6761	0.7921	0.8900	0.4371	0.5856	0.7904	0.8890	1.3133	0.5965	0.8291	0.6722	0.8199	0.5815	0.7923	0.6264	0.7931	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
41.0000	0.8004	0.4904	0.6809	0.7892	0.8884	0.4308	0.5799	0.7944	0.8913	1.3538	0.6183	0.8460	0.6588	0.8127	0.5954	0.7998	0.6193	0.7900	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
42.0000	0.7812	0.4828	0.6700	0.7959	0.8921	0.4263	0.5759	0.7972	0.8929	1.3481	0.6221	0.8507	0.6549	0.8116	0.5812	0.7916	0.6270	0.7931	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
43.0000	0.7807	0.4852	0.6698	0.7960	0.8922	0.4280	0.5764	0.7969	0.8927	1.3965	0.6193	0.8622	0.6455	0.8054	0.5946	0.8091	0.6103	0.7843	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
44.0000	0.7668	0.4765	0.6642	0.7994	0.8941	0.4209	0.5708	0.8008	0.8949	1.3481	0.5914	0.8354	0.6673	0.8185	0.5986	0.8085	0.6109	0.7835	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
45.0000	0.7609	0.4732	0.6586	0.8028	0.8960	0.4237	0.5712	0.8005	0.8947	1.3593	0.6142	0.8473	0.6577	0.8124	0.5941	0.8026	0.6165	0.7853	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
46.0000	0.7532	0.4708	0.6541	0.8055	0.8975	0.4233	0.5707	0.8009	0.8949	1.3561	0.6063	0.8413	0.6625	0.8162	0.5947	0.8071	0.6123	0.7859	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
