Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
66.0000	0.4766	0.4997	0.6884	0.7915	0.8896	0.7454	0.6166	0.8634	0.6584	0.8120	0.6072	0.8849	0.6693	0.8190
67.0000	0.4734	0.4998	0.6881	0.7916	0.8897	0.7808	0.6413	0.8835	0.6423	0.8080	0.6072	0.8849	0.6693	0.8190
68.0000	0.4542	0.4854	0.6742	0.8000	0.8944	0.7689	0.6210	0.8766	0.6480	0.8059	0.6072	0.8849	0.6693	0.8190
69.0000	0.4552	0.4897	0.6749	0.7996	0.8942	0.7571	0.6159	0.8698	0.6534	0.8113	0.6072	0.8849	0.6693	0.8190
70.0000	0.4562	0.4902	0.6754	0.7993	0.8940	0.7485	0.6096	0.8648	0.6573	0.8119	0.6072	0.8849	0.6693	0.8190
71.0000	0.4567	0.4879	0.6750	0.7995	0.8942	0.7657	0.6267	0.8750	0.6493	0.8060	0.6072	0.8849	0.6693	0.8190
72.0000	0.4442	0.4823	0.6662	0.8047	0.8970	0.7407	0.6121	0.8601	0.6611	0.8154	0.6072	0.8849	0.6693	0.8190
73.0000	0.4461	0.4823	0.6678	0.8038	0.8965	0.7458	0.6205	0.8633	0.6585	0.8115	0.6072	0.8849	0.6693	0.8190
74.0000	0.4420	0.4806	0.6651	0.8054	0.8974	0.7545	0.6228	0.8685	0.6545	0.8105	0.6072	0.8849	0.6693	0.8190
75.0000	0.4363	0.4763	0.6607	0.8079	0.8988	0.7461	0.6171	0.8635	0.6584	0.8116	0.6072	0.8849	0.6693	0.8190
76.0000	0.4431	0.4813	0.6659	0.8049	0.8972	0.7365	0.6083	0.8578	0.6629	0.8156	0.6072	0.8849	0.6693	0.8190
77.0000	0.4331	0.4770	0.6585	0.8092	0.8996	0.7346	0.6068	0.8568	0.6637	0.8152	0.6072	0.8849	0.6693	0.8190
78.0000	0.4277	0.4726	0.6543	0.8116	0.9009	0.7730	0.6188	0.8789	0.6461	0.8052	0.6072	0.8849	0.6693	0.8190
79.0000	0.4291	0.4729	0.6551	0.8112	0.9007	0.7360	0.6113	0.8576	0.6630	0.8164	0.6072	0.8849	0.6693	0.8190
80.0000	0.4219	0.4696	0.6495	0.8144	0.9024	0.7735	0.6174	0.8793	0.6457	0.8116	0.6072	0.8849	0.6693	0.8190
81.0000	0.4224	0.4651	0.6487	0.8148	0.9027	0.7652	0.6152	0.8744	0.6497	0.8089	0.6072	0.8849	0.6693	0.8190
82.0000	0.4170	0.4661	0.6458	0.8165	0.9036	0.7331	0.6124	0.8562	0.6641	0.8185	0.6072	0.8849	0.6693	0.8190
83.0000	0.4287	0.4712	0.6547	0.8114	0.9008	0.7477	0.6069	0.8644	0.6576	0.8155	0.6072	0.8849	0.6693	0.8190
84.0000	0.4077	0.4586	0.6375	0.8212	0.9062	0.7925	0.6232	0.8897	0.6373	0.8101	0.6072	0.8849	0.6693	0.8190
85.0000	0.4075	0.4602	0.6384	0.8206	0.9059	0.7395	0.6107	0.8595	0.6616	0.8141	0.6072	0.8849	0.6693	0.8190
86.0000	0.3947	0.4511	0.6286	0.8262	0.9089	0.7244	0.6080	0.8508	0.6684	0.8180	0.6072	0.8849	0.6693	0.8190
87.0000	0.4016	0.4561	0.6331	0.8236	0.9076	0.7481	0.6181	0.8646	0.6575	0.8122	0.6072	0.8849	0.6693	0.8190
88.0000	0.4087	0.4577	0.6388	0.8204	0.9058	0.7442	0.6051	0.8622	0.6594	0.8155	0.6072	0.8849	0.6693	0.8190
89.0000	0.4079	0.4585	0.6375	0.8212	0.9062	0.7303	0.6024	0.8541	0.6658	0.8210	0.6072	0.8849	0.6693	0.8190
90.0000	0.3995	0.4547	0.6318	0.8243	0.9079	0.7260	0.6053	0.8518	0.6676	0.8174	0.6072	0.8849	0.6693	0.8190
